Perfume,Brand,Scent Profile,Votes,Price 1Ml,Price Travel Size,Price Small Retail,Price Big Retail,Gender,Rating Value,Base,Middle,Top,mainaccord1,mainaccord2,mainaccord3,mainaccord4,mainaccord5
cristalle eau de toilette,chanel,,3951,,,,,women,4.11,,,,citrus,earthy,woody,mossy,aromatic
cristalle eau verte,chanel,,4997,,,,,women,4.19,,,,citrus,floral,white floral,aromatic,fresh spicy
cruise collection escale a portofino,dior,,2349,,,,,women,4.06,,,,citrus,aromatic,fresh spicy,woody,white floral
cruz del sur ii,xerjoff,,2027,,,,,unisex,4.03,,,,fruity,tropical,sweet,lactonic,woody
crystal noir,versace,,21063,,,,,women,3.92,,,,warm spicy,white floral,coconut,fresh spicy,lactonic
crystal noir eau de toilette,versace,,2636,,,,,women,4.13,,,,warm spicy,woody,powdery,white floral,fresh spicy
cuir amethyste,giorgio armani,,1245,,,,,unisex,4.14,,,,amber,woody,violet,leather,powdery
cuir cannage,dior,,710,,,,,unisex,4.14,,,,leather,smoky,iris,woody,white floral
cuir de russie eau de parfum,chanel,,739,,,,,women,4.11,,,,leather,smoky,white floral,woody,sweet
d g anthology l amoureux 6,dolce gabbana,,922,,,,,men,4.09,,,,woody,aromatic,fresh spicy,citrus,musky
d g anthology l imperatrice 3,dolce gabbana,,17132,,,,,women,3.81,,,,fruity,ozonic,aquatic,green,sweet
d g anthology la lune 18,dolce gabbana,,1791,,,,,women,3.78,,,,white floral,green,animalic,tuberose,powdery
d g anthology la roue de la fortune 10,dolce gabbana,,1567,,,,,women,3.89,,,,white floral,vanilla,patchouli,warm spicy,amber
d g anthology la temperance 14,dolce gabbana,,1142,,,,,women,3.87,,,,musky,iris,powdery,floral,warm spicy
d g feminine,dolce gabbana,,1126,,,,,women,3.99,,,,floral,powdery,white floral,musky,woody
dama bianca,xerjoff,,3512,,,,,women,4.13,,,,powdery,vanilla,violet,floral,musky
darley,parfums de marly,,711,,,,,men,4.13,,,,aromatic,woody,fresh spicy,lavender,warm spicy
delina,parfums de marly,,8964,,,,,women,4.01,,,,rose,floral,fruity,fresh,musky
delina exclusif,parfums de marly,,4916,,,,,women,4.12,,,,rose,fruity,vanilla,amber,tropical
delina la rosee,parfums de marly,,2401,,,,,women,4.16,,,,floral,fresh,rose,aquatic,fruity
devotion,dolce gabbana,,4591,,,,,women,4.03,,,,vanilla,sweet,white floral,powdery,lactonic
dior addict,dior,,14456,,,,,women,4.11,,,,vanilla,white floral,sweet,fruity,amber
dior addict 2,dior,,4082,,,,,women,3.98,,,,citrus,floral,woody,fresh spicy,fruity
dior addict eau de parfum,dior,,3081,,,,,women,4.28,,,,vanilla,white floral,citrus,sweet,powdery
dior addict eau de parfum 2014,dior,,4702,,,,,women,4.3,,,,white floral,vanilla,citrus,sweet,powdery
dior addict eau de toilette,dior,,2177,,,,,women,3.94,,,,white floral,citrus,vanilla,woody,powdery
dior addict eau delice,dior,,1626,,,,,women,3.92,,,,fruity,sweet,cherry,almond,nutty
dior addict eau fraiche 2004,dior,,749,,,,,women,4.2,,,,citrus,white floral,vanilla,sweet,woody
dior addict eau fraiche 2012,dior,,1303,,,,,women,3.92,,,,citrus,floral,fresh spicy,woody,musky
dior addict eau fraiche 2014,dior,,1889,,,,,women,4.04,,,,floral,citrus,musky,white floral,fresh spicy
dior addict eau sensuelle,dior,,1304,,,,,women,3.91,,,,rose,musky,white floral,floral,powdery
dior homme,dior,,6400,,,,,men,4.42,,,,iris,cacao,powdery,earthy,aromatic
dior homme 2005,dior,,3730,,,,,men,4.4,,,,iris,warm spicy,aromatic,cacao,earthy
dior homme 2020,dior,,6319,,,,,men,4.13,,,,woody,musky,aromatic,amber,citrus
dior homme cologne 2013,dior,,5735,,,,,men,4.44,,,,citrus,white floral,fresh spicy,musky,powdery
dior homme cologne 2022,dior,,2185,,,,,men,4.53,,,,citrus,musky,fresh spicy,white floral,powdery
dior homme eau for men,dior,,2766,,,,,men,4.32,,,,iris,citrus,powdery,woody,aromatic
dior homme intense 2011,dior,,18272,,,,,men,4.5,,,,iris,woody,powdery,earthy,violet
dior homme original,dior,,849,,,,,men,4.63,,,,iris,earthy,aromatic,warm spicy,powdery
dior homme parfum,dior,,7676,,,,,men,4.55,,,,iris,woody,leather,powdery,violet
dior homme sport,dior,,3190,,,,,men,4.22,,,,citrus,aromatic,warm spicy,woody,fresh spicy
dior homme sport 2012,dior,,2512,,,,,men,4.34,,,,citrus,iris,warm spicy,powdery,woody
dior homme sport 2017,dior,,2013,,,,,men,4.1,,,,citrus,fresh spicy,aromatic,woody,
dior homme sport 2021,dior,,3316,,,,,men,4.34,,,,citrus,aromatic,woody,fresh spicy,amber
diorella,dior,,1584,,,,,women,4.2,,,,citrus,green,aromatic,white floral,earthy
dioressence,dior,,1188,,,,,women,4.27,,,,warm spicy,woody,earthy,aromatic,mossy
diorissimo,dior,,4611,,,,,women,4.14,,,,white floral,green,fresh,floral,
dolce,dolce gabbana,,4801,,,,,women,3.54,,,,floral,musky,fresh,powdery,aquatic
dolce amalfi,xerjoff,,2870,,,,,unisex,4.13,,,,warm spicy,amber,sweet,fruity,vanilla
dolce floral drops,dolce gabbana,,1012,,,,,women,3.7,,,,floral,fruity,fresh,green,aquatic
dolce gabbana,dolce gabbana,,4699,,,,,women,3.99,,,,aromatic,floral,fresh,white floral,aldehydic
dolce gabbana pour femme,dolce gabbana,,6816,,,,,women,4.01,,,,sweet,powdery,vanilla,fruity,white floral
